metric,full_name,definition,comparability_note
GOV,Gross Order Value,"Total value of orders transacted on the platform before deductions (discounts, etc.)","Used by Swiggy. Roughly comparable to Blinkit's GOV in early disclosures, but Blinkit has shifted emphasis to NOV."
NOV,Net Order Value,GOV net of customer-side discounts and cancellations,Used by both Swiggy Instamart and Blinkit in recent quarters — the more comparable cross-company metric where both report it.
NRV,Net Revenue Value,Zepto's reported topline order-value metric,Conceptually closest to NOV but Zepto's exact deduction methodology is not fully disclosed publicly — treat NRV vs NOV comparisons as directionally indicative only.
Revenue from Operations,Statutory revenue,Revenue recognized under accounting standards,"NOT comparable across Blinkit and Swiggy/Zepto: Blinkit's inventory-led model means it recognizes the full retail sale as revenue, inflating it relative to marketplace-model peers. Do not chart Blinkit revenue next to Swiggy/Zepto revenue without this caveat."
Contribution Margin,Contribution margin (% of order value),"Order economics after variable costs (delivery, packaging, etc.), before fixed overhead",Disclosed basis (GOV vs NOV) not always explicit in secondary coverage — verify against the actual KPI databook before using in a precise comparison.
Adjusted EBITDA Margin,Adjusted EBITDA as % of order value,Company-defined non-GAAP profitability measure,"Each company defines its own adjustments — 'Adjusted EBITDA' is not standardized across Swiggy, Blinkit, and Zepto."
AOV,Average Order Value,Order value divided by number of orders,"Comparable in spirit across companies, though the order-value basis (GOV/NOV/NRV) underneath differs."
Per Order Loss,Loss per order,Total segment loss divided by order count,Useful cross-company comparator since it normalizes for scale — one of the cleaner comparable metrics in this dataset.
Orders per Store per Day,Daily order throughput per dark store,Total orders / store count / days in period,"Best available proxy for store-level density and capacity utilization — but watch for store age mix (a network adding many new, immature stores will show lower average throughput even if mature stores are at capacity)."
Take Rate,Platform monetization rate,Adjusted revenue as % of GOV/NOV,Definition basis varies; treat trend direction within a company as more reliable than cross-company level comparison.
